0,1,2,3
"Bastard, I'm not a stupid Kid!",この　俺はくそがきじゃない,This is not a habit,0.16666666666666666
I'm Teito Klein!,思いやがるんじゃないぜ　くそがき,I don't think I'm sorry,0.2222222222222222
"Excuse me, where's the little lamb?... Is he with you?",あの　小羊さんは？　ご一緒では？,What is that pill?Good morning?,0.10526315789473684
I specially got him some new clean clothes.,せっかくお着替えもご用意したのですが,I also prepared a change in clothes,0.14285714285714285
He was in the courtyard just a moment ago,先ほどまで　中庭に,In the courtyard until above,0.2727272727272727
Please hurry along!,急いでください　閉門の時間です,Please hurry off the time of the closed,0.2222222222222222
"I'm grateful to them for rescuing me,",でも　俺はここにいてもいいのか,But I'm here too,0.16666666666666666
I don't even know if Mikage's okay or not...,ミカゲが無事かどうかも分からないのに,I do not know if Mikage is safe,0.42857142857142855
It's just me...,てめーは　シスターの用意した食事にも手を付けてねーだろう,Temee will handle the sister's prepared diet,0.08333333333333333
I’m not a stupid brat! My name is...,この　放せ！　くそがきじゃない　俺の名は,This release!My name is not my name,0.35714285714285715
What...?,何!?,what!?,0.5
And it’d be troublesome if you passed out on us again.,また　てめーが倒れたら　面倒だからな,It is because it is troublesome if it falls again,0.23529411764705882
"This flower will lose its meaning in life, if you don’t wear it.",この時間を逃したら　朝までくいっぱぐれるぜ,"If you miss this time, it will be full of morning",0.2608695652173913
"Let me go!... I said ""Let me go!"".",間に合ったな,I fit,0.1
Looks like we made it in time.,緊張が解れたようですね,It seems that tension has been understood,0.07142857142857142
Everyone who lives here at the church serves God.,皆この教会で神に仕えているものたちですよ,Everyone is serving to God in this church,0.2
"It’s nothing fancy, but please help yourself.",質素な食事ですが　一杯食べてくださいまし,"It is a stylumatic diet, but please eat a cup",0.23529411764705882
Today's menu is eye stew.,今日のメニューは　アイシチューですよ,Today's menu is Ishiti,0.5
"Oh, we're getting a real feast tonight!",おっ　お,Oh,0.1
"it's because we do not partake meat,",私たちはお肉を食べられないので,Because we can not eat meat,0.36363636363636365
I love it!,私大好き,I love you,0.4
"Really, is there really something... else I can eat?",本当にありがたいですわ,I'm really thankful,0.15384615384615385
You’re not going to eat it?,食べないんですか,Do you not eat,0.3
It’s good.,初めてにしちゃ　いい食いつきだね,It's just a good food,0.2222222222222222
"Those who serve the church are only allowed to eat basic dishes consisting of shellfish, vegetables, and fish.",教会では主に穀物　野菜　魚などの　質素なものを食べています,"In the church, we are mainly eating grain vegetable fish etc.",0.2222222222222222
District 7 is famous for its eyefish and edible flowers.,とくに　このアイフィッシュと食用花は第７区の特産品なんですよ,Especially this Afish and edible flowers are special products in the seventh district,0.2
What are you used to eating?,へー,To,0.14285714285714285
"More normal food, along with protein pills and vitamins.",普通のご飯に強化プロテインとビタミンなどを摂取して,Intake strengthening protein and vitamins for ordinary rice,0.1875
So that’s why you’re so short.,そんなに焦らなくても　おかわりありますわよ,Even if you don't get so impolished,0.13333333333333333
You should eat more natural foods.,だからこんな小せんだな　もっと自然食食え,So this is a small thing like this more natural food,0.13333333333333333
"Right, I’d love to hear it!",そう言えば　あなたの名前聞いていませんでしたね,"Speaking of that, I did not hear your name",0.17647058823529413
Is it yummy? Do you like it?,おいしい？　おいしいですか？,delicious? Is it tasty?,0.3333333333333333
Is it okay to be the only one surrounded by such nice people.,いいのか　俺だけ　こんなふうに　全員の人々に囲まれて,"Is it all right, surrounded by all the people of everyone",0.3157894736842105
How are you holding up?,ミカゲ　お前は今頃どうしているのか,Mikage you are here now,0.2222222222222222
Have you determined Teito Klien's current location?,テイト·クラインの所在は掴めたのか？,Did you get the location of Tate Kurin?,0.2
"I’d like to hear why he felt the need to escape, Ayanami-kun.",なぜ逃げたのか　説明してもらおう	アヤナミ君,I will explain why I escaped Ayanami,0.10526315789473684
"He was originally a Sklave from the fallen Raggs Kingdom,",彼　旧ラグス王国のスクラーだったし　出ていたところで,Where was the Scrup of the former Lugs Kingdom,0.1875
So I sincerely doubt he actually has a place to go back home to.,帰る場所なんかないんじゃないですか,Isn't there any place to go home,0.2222222222222222
I'm sure he'll come back once he starts to miss his school-life.,きっとまた学校が恋しくなって　戻ってきますよ,I'm sure to come back to school again,0.375
Are any of you taking this seriously? Especially you on the left.,特に左のやつ,Especially the left guy,0.21428571428571427
"Sir, what are you saying?",やっはっ　何でありましょうか,What should I do?,0.2
"He was a valuable candidate for the Eye of Mikhal, once it was found.",あれはミカエルの瞳が見つかった時のための　貴重な候補生だぞ,That's a valuable candidate student for when the pupil of Michael was found,0.38095238095238093
I expect you to take full responsibility for this.,責任は取ってくれるのかね,Do you want to take responsibility?,0.3076923076923077
I had been hoping to make him your Begleiter,せっかくあの子を　君のベグライダー（没错）にしようと思っていたのだが,I was thinking of going to you to make that girl as a vegrider (错)),0.13636363636363635
"Miroku-sama, why did you take that child under your wing?",ミロク様は　なぜあの少年を引き取ったのですか,Why did Miroku to pick up that boy,0.17647058823529413
"Since he has been branded as a sklave, he will never find sanctuary anywhere else.",スクラーの烙印をされたあの子にとって安住の地などどこにもないからだ,It is because it is not anywhere such as Senzo's land for the shark sealed,0.07142857142857142
Come! Please rest here!,さー　ここでお休みください,Come on here,0.3333333333333333
This place is...,これは,this is,0.5
"Oh no, you don’t like it?",あら　お気に召しませんか,Do you like oh?,0.36363636363636365
I suppose we got a little carried away... It's not like you're a little child...,いくらなんでも　収穫祭でもないのに　やりすぎましたでしょうか,How much did you do it even though it is not a harvest festival?,0.15384615384615385
I’m sorry!,ごめんなさい　お元気がなかったので　すぐに片付けます,I'm sorry I didn't get well,0.2
