0,1,2,3
"With my own hands, I'll...",あいつを この手で...,That guy with this hand ...,0.16666666666666666
It's me.,俺だ,I'm me,0.16666666666666666
"Still not interested, huh?",また興味なしってか?,Are you interested again?,0.2222222222222222
He killed the don.,ドンをやりやったんだろう,I will do Don,0.125
How should I know?,又是沒興趣?,Origin?,0.16666666666666666
"Florida, a paradise...",憧れのフロリダ...,Longing Florida ...,0.3333333333333333
Ridiculous.,無聊,Lonely,0.0
Let's get started!,我不客氣了,Unexplored,0.0
Throw down your weapons and come out.,武器を捨てて出てこい,Discard the weapon and come out,0.2727272727272727
"Please, don't shoot!",頼む 打たないでくれ,Do not hit me,0.1111111111111111
We're coming out now!,今から出て行く,Go out from now,0.25
Those Galassia guys keep coming in swarms.,Galassia的滾蛋來了一大群人,GALASSIA 滾滾 一 一一,0.09090909090909091
"Even if all our bullets hit, we wouldn't have enough.",全部当たっても タマが足りね,"Even if it is all hit, Tama is enough",0.375
It's about time.,そろそろ頃合だ,It is time to go,0.25
Hotel Lawless. Room 501.,Lawless酒店 501號房,Lawless Hotel 501,0.6
Everyone's been sent over to the Island.,皆アイランドにであらってるぜ,Everyone is in Island,0.18181818181818182
Are you going?,行くのか?,Do you go?,0.3333333333333333
"Yeah, you guys should get out of here as well.",お前らもここを出ろ,Please leave here too,0.06666666666666667
Who wants to die in the same place Fango did?,ファンゴの死に場所でくたばるなんて ぞっとしね,I'm going to die in the place of the death of Mango,0.29411764705882354
Good point.,說的也是,說的也是,0.0
"You're the one they're after, anyway.",そもそも あいつらのお目当てはお前だしね,"In the first place, you're a guy",0.2857142857142857
"Hey, Nero.",Nero,Nero,0.25
This will be our...,これが俺たちの...,This is our ...,0.5
"When you see him, sock him one for me too, okay?",やつに会ったら 俺の分も殴っておいてくれ,"If you meet a guy, please come to me",0.15789473684210525
"So, where are we going?",さて どこ行くよ,"Well, where you go",0.2
There's no way we can get away from the Galassias anyway.,どうせ ガラッシアから逃げ切れねけどな,"Anyway, I'm off from Glassia",0.1111111111111111
Why are you here?,なんでお前がここにいる,Why is you here,0.5
"Hey, you listening to me?",おい 聞いてんのかよ?,Are you listening to?,0.5
