en_text,jp_text,google_translated,score,semantic_score
What is that?,"{\pos(639,640)\q1}	何だい　あれ",What kind of,0.16666666666666666,0.31042168
This clearly isn't human technology.,"{\pos(639,640)\q1}	やはり　人類の技術ではありません",It is not human technology,0.3333333333333333,0.85348076
"Well, nothing in life is certain.","{\pos(639,640)\q1}	萌え絵がないと　ピコ手のままだ","If there is no Moe picture, it remains pico",0.125,0.10375642
"Okay, let's proceed.","{\pos(639,640)\q1}	娘さんたち主体のマーケット準備会ができました",Daughter-san's main market preparation was made,0.08333333333333333,0.1408261
It disappeared...,"{\pos(639,640)\q1}	消えた",disappeared,0.3333333333333333,0.6705482
Assistant!,"{\pos(639,640)\q1}	助手さん",Assistant,0.5,0.88243794
"When I awake, you're smiling",	目が覚めたなら　君が笑って,"If you woke up, you laugh",0.18181818181818185,0.59863406
I thought it would always be like this,	そんな世界が続くと思ってた,I thought that such a world continued,0.15384615384615385,0.39370453
Of course it fell short of being realistic,	当たり前には　少し足りない,It is a bit enough before,0.08333333333333333,0.2638829
From my crooked perspective the night seemed still blue,	歪んだ視界から見てた　蒼い夜,A blue night watched from a distorted view,0.2307692307692308,0.7524295
but dawn crept in like a declaration of love,	何度目の朝で　打ち明けた恋のように,Like a love that has been hit in the morning,0.26666666666666666,0.4267604
"we approach each other, delicately",	近づいてく僕ら　デリケート,Approaches we delicate,0.125,0.5194712
"I have chocolate, too, as a reward",	甘い夢を見れたら,If you have a sweet dream,0.16666666666666666,0.34323993
Walk straight for the hill there,	あのままで進め　ストレート,Advanced with that while straight,0.1,0.33352455
for the voice that beckons us on,	聞こえた　手招きする声,Invite voice to hear,0.1,0.43222955
What a strange world this is,	不思議な世界,Mysterious world,0.14285714285714285,0.7237211
The Fairies' Subculture,	壊せ,Broke,0.0,0.12786084
"The door didn't open in panel 3, and we were stuck.","{\pos(639,640)\q1}	次の三コマ目でドアが開かず",Do not open the door with the following three-piece eyes,0.15,0.45186538
Maybe we have to make something happen?,"{\pos(639,640)\q1}	やっぱりなんか事件を起こすしかないんじゃない",I have no choice but to do something wrong,0.21428571428571427,0.18850958
"By this world's rules,","{\pos(639,640)\q1}	この世界のルール",Rules in this world,0.42857142857142855,0.74342775
"Once that condition has been met,","{\pos(639,640)\q1}	条件をクリアすると",When the condition is cleared,0.09090909090909093,0.53155404
"a printed sound effect appears, and the door will emerge.","{\pos(639,640)\q1}	場面にあったオノマトペが出現し　ドアが開く",Onomatopoeia that was in scenes appears and the door opens,0.2222222222222222,0.6060213
They're probably looking for some human drama.,"{\pos(639,640)\q1}	期待されてるのは人間ドラマってことさ",The expected is human drama,0.16666666666666666,0.6038315
Huh? How do we create drama?,"{\pos(639,640)\q1}	え　じゃあ　どうやってドラマにするのかって","Well, how to make it drama",0.16666666666666666,0.8249479
Let's see...,"{\pos(639,640)\q1}	そうですね",That's right,0.16666666666666666,0.18733062
Drama like you'd see in a comic book...,"{\pos(639,640)\q1}	そういう仕組みのようです",seems like a mechanism,0.16666666666666666,0.075623766
