0,1,2,3
The Galassias were receptive when you brought them the whiskey?,酒を持っていった時,When you have sake,0.16666666666666666
I remember a guy named Strega\N who came to the funeral.,やつの組織には確かストレーガとかいうのが来てたな,"Certainly, a striger came to a guy's organization",0.23529411764705882
He's Don Galassia's nephew and Ronaldo's cousin.,ドン ガラッシアの甥 ロナルドの従兄弟だ,Don Glassia's niece Ronald's cousin brother,0.23076923076923078
Avilio.,Avilio,Avilio,0.5
"Either way, we'd best proceed with caution.",いずれにしろ 慎重に進めた方がいい,"In any case, it is better to proceed carefully",0.1111111111111111
"No need to be so nervous. Right, Uncle?",そんな ビビることねぇだろう なぁ 伯父貴,It will be such a vivid thing.,0.11764705882352941
"Well, they are the big family that controls Chicago.",いや シカゴを牛耳るビッグファミリーだ,Yaya is a big family who ears Chicago,0.1875
We don't want to do anything to offend them.,無論如何 慎重為妙,Anything cautious,0.1
I can assign whatever name I wish,おいでなすったぞ,I'm sorry,0.125
All for Nothing,"{\fs50\blur1.5\bord1\an5\c&H03090E&\b0\3c&H13487A&\1a&H00&\pos(619.086,505.715)}一切白費","{\ fs50 \ blur1.5 \ bord1 \ AN5 \ C & H03090E & \ B0 \ 3C & H13487A & \ 1A & H00 & \ POS (619.086, 505.715)} All white costs",0.038461538461538464
"You're Vince's boy, eh?",君がヴィンスの息子か?,Are you a vinging son?,0.16666666666666666
You look just like he did as a youth.,若い頃にそっくりだ,It's just like a young,0.23076923076923078
Don't sweat it.\N You took responsibility for that yourself.,気にするな お前がその手でケジメを付けたんだ,"Don't worry, you have put a key with that hand",0.21052631578947367
Let's both move forward and build a relationship together.,関係を築いていこうじゃないか,Do you want to build a relationship,0.2
I'm grateful to hear you say that.,そう言っていただけると,If you say so,0.18181818181818182
My nephew Strega is a capable man.,甥のストレーガ 出来るやつだ,It is a guy who can,0.16666666666666666
I hope you youngsters get along.,若いもの同士 仲良くやってくれよ,Young people get along well,0.2
"Good to see you, Don Galassia.",你好 Don Galassia,你 don galassia,0.2222222222222222
Don Vanetti!,ドン ヴァネッティ,Don Vanetti,0.6666666666666666
How about a drink?,一杯どうです,How about it,0.3333333333333333
"I'm sure it'll be popular in Chicago, too.",あれはきっと シカゴでも評判に...,That is definitely in Chicago ...,0.125
Are you ready to come to Chicago?,シカゴに来る決心は付いたか,Did you decide to come to Chicago?,0.5555555555555556
I could never abandon this place.,ここを捨てるような真似は,Simply throw away here,0.0
Nero Vanetti.,ネロ ヴァネッティ,Nero Vanetti,0.6666666666666666
"He seems like an interesting guy,",面白そうなやつだ,It is an interesting guy,0.3333333333333333
but a naïve child like him will trip up sooner or later.,だが ああいうお人好しの甘ちゃん,But that kind of goodness,0.058823529411764705
Look ahead to the future Avilio.,先を見るんだアヴィリオ 将来を,I see the future Avillio,0.2
This town is too small for you.,この町は お前には狭すぎる,This town is too narrow in you,0.5
Any changes to the plan tomorrow?,明日の段取りに変更は,Change to tomorrow's setup,0.2
No. Their room is the furthest down the hall on the second floor.,ない 奴等の部屋は二階の一番奥だ,The rooms such as those who do not have the second floor are the deepest floor,0.13636363636363635
"The door is bulletproof, so you'll need to get inside to kill Vincent.", ヴィンセントをやるには中に入んなきゃならん,I have to enter the inside to do Vincent,0.21052631578947367
It's set up so that you can't get in \Nfrom the outside without a key.,外からは開けられない仕組みになってる,It is a mechanism that can not be opened from outside,0.16
"That's when their savior, the great Avilio, will appear.",此時救世主Avilio大人出場,Savior Avilio Adults,0.15384615384615385
