en_text,jp_text,google_translated,score,semantic_score
It's a lovely girl.,そうだな 女の子だから 大和撫子のように,"That's a girl, so like Yamato Reiko",0.25,0.48917457
What should we name her?,名前どうする,What to do,0.125,0.089306116
We should give her a meaningful name.,名前をつけるからには ちゃんと意味を持たせたいわよね,I will give you a meaning to make a name,0.21428571428571427,0.52685964
"And also, healthy, cheerful and kind.",あと 健康で明るくて 優しくて,Healthy and bright and gentle,0.2222222222222222,0.6335735
"Ah, I wish she also becomes someone dependable.",	知ってるわ,I know,0.09090909090909093,0.11477522
"And then, something like, then...",あと 気が利いて 清楚で活発で,"After that, it is clean and clean",0.18181818181818185,0.24921551
"If you're in some kinda trouble, you're welcome here",	よろしくお願いします,thank you,0.09090909090909093,0.35802794
"Sechigarai no ya desho a, soyukoto?",	福祉第一係 長谷部豊です,It is a welfare first tricks Hase club,0.06666666666666668,0.042420026
Saratto iratto fuwatto shiretto tsumannaishi,	俺は一宮大志,I am Ichinomiya,0.0,0.4061699
It worked and was right in the end,	新人の指導をしろと言われても,Even if it is said that the guidance of a newcomer is said,0.1176470588235294,0.0423898
Be Careful About How You Refer to Someone and Why,	とにかく 君達も今日から晴れて地方公務員,"Anyway, you are also sunny from today and local government employees",0.1,0.17554289
"Welfare Department, Administrative Section.\N Yamagami... is my name.",	12時だ,It is 12 o'clock,0.07142857142857142,0.05134208
"We're all in the same department and about the same age,",	二階と三階にそれぞれある,There is each on the second floor and the third floor,0.1111111111111111,0.16722883
I have no idea what I'm doing!,	そのやる気に満ちた姿勢,I'm motivated,0.2222222222222222,0.36239597
"Eh, I've been here eight years.",	不安です,I'm anxious,0.09090909090909093,0.11763353
So please work yourselves like dogs for the community!,	だって 大丈夫 働くの初めてなんて,Because it is the first time I work,0.125,0.20362931
Any questions?,	質問というか 既に悩み相談になってる,Questions or already worries consultation,0.14285714285714285,0.32444695
Okay. And where will I not get caught slacking off?,	すぐ慣れますよ,I will get used to it soon,0.1875,0.105403416
